SKU,Title,Value Count,Description
ae-000016,I Have My Own Material / Leather,1,COM - Customer Own Material
ae-000016,Need It Faster? Rush Delivery,1,Rush delivery
ae-000017,I Have My Own Material / Leather,1,COM - Customer Own Material
ae-000017,Need It Faster? Rush Delivery,1,Rush delivery
ae-000023,Color,5,
fm-000244,Select a color,3,Wool
mf-000369,Select Combination,7,Fiberglass & Fabric color
mf-000419,Select fabric color,2,
nl-000595,Select material,2,
sb-000855,I Have My Own Material / Leather,1,COM - Customer Own Material
sb-000855,Need It Faster? Rush Delivery,1,Rush delivery
sb-000887,Select a color:,10,"60% Wool, 40% Hemp"
sb-000887,Select a color:,6,Waxy aniline leather
sbx-000926,I Have My Own Material / Leather,1,COM - Customer Own Material
sbx-000926,Need It Faster? Rush Delivery,1,Rush delivery
sbx-000948,Select a color:,19,Polyester
nj-001341,Select a stone:,5,
nj-001347,Select a stone:,5,
sb-000885,I Have My Own Material / Leather,1,COM - Customer Own Material
sb-000885,Need It Faster? Rush Delivery,1,Rush delivery
sb-000899,I Have My Own Material / Leather,1,COM - Customer Own Material
sb-000899,Need It Faster? Rush Delivery,1,Rush delivery
yt-001293,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001300,Select a color:,2,Stainless steel
yt-001300,Select a finish:,2,Stainless steel in brushed or polished finish
yt-001301,Select a stone:,2,
yt-001301,Select a color:,2,Stainless steel
yt-001301,Select a finish:,2,Stainless steel in brushed or polished finish
yt-001304,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001304,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001304,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001305,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001305,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001305,Select a color,8,Waxy leather: antique grain or smooth grain
yt-001305,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001305,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001315,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001315,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001315,Select a color,8,Waxy leather: antique grain or smooth grain
yt-001315,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001315,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001297,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001297,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001297,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001298,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001298,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001298,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001299,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001299,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001299,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001313,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001313,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001313,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001312,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001312,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001312,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001312,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001311,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001311,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001311,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001311,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001310,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001310,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001310,Select a color,8,Waxy leather: antique grain or smooth grain
yt-001310,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001310,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001309,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001309,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001309,Select a color,8,Waxy leather: antique grain or smooth grain
yt-001309,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001309,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001308,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001308,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001308,Select a color,8,Waxy leather: antique grain or smooth grain
yt-001308,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001308,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001307,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001307,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001307,Select a color,8,Waxy leather: antique grain or smooth grain
yt-001307,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001307,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001309-1,Select a color,12,80/20% wool/polyester or 100% wool 
yt-001309-1,Select a color:,9,Corrected/aniline leather (soft natural grain)
yt-001309-1,Select a color,8,Waxy leather: antique grain or smooth grain
yt-001309-1,I Have My Own Material / Leather,1,COM - Customer Own Material
yt-001309-1,Need It Faster? Rush Delivery,1,COM - Customer Own Material
yt-001314,Select a color,12,80/20% wool/polyester or 100% wool 
nj-000220,Select table base color:,3,
test,Opt2,3,test options desc123
Tivoli Premium Italian Leather Office Chair,Office Chair - Italian Leather,1,
